<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240116;095937;0.024870000;10000;9393881797;B
20240116;095937;0.024870000;100000;9393881798;S
20240116;095937;0.024870000;10000;9393881799;S
20240116;095937;0.024870000;50000;9393881800;S
20240116;095937;0.024870000;10000;9393881801;S
20240116;095937;0.024870000;10000;9393881802;S
20240116;095937;0.024870000;30000;9393881803;S
20240116;095937;0.024870000;10000;9393881804;S
20240116;095937;0.024870000;700000;9393881805;S
20240116;095937;0.024870000;100000;9393881806;S
20240116;095937;0.024870000;10000;9393881807;S
20240116;095937;0.024870000;100000;9393881808;S
20240116;095937;0.024870000;10000;9393881809;S
20240116;095937;0.024870000;80000;9393881810;S
20240116;095937;0.024870000;20000;9393881811;S
20240116;095937;0.024870000;20000;9393881812;S
20240116;095937;0.024870000;10000;9393881813;S
20240116;095937;0.024870000;20000;9393881814;S
20240116;095937;0.024870000;20000;9393881815;S
20240116;095937;0.024870000;10000;9393881816;S
20240116;095937;0.024870000;10000;9393881817;S
20240116;095937;0.024870000;10000;9393881818;S
20240116;095937;0.024870000;20000;9393881819;S
20240116;095937;0.024870000;10000;9393881820;S
20240116;095937;0.024870000;10000;9393881821;S
20240116;095937;0.024870000;70000;9393881822;S
20240116;095937;0.024870000;20000;9393881823;S
20240116;095937;0.024870000;100000;9393881824;S
20240116;095937;0.024870000;230000;9393881825;S
20240116;095937;0.024870000;40000;9393881826;S
20240116;095937;0.024870000;20000;9393881827;S
20240116;095937;0.024870000;10000;9393881828;S
20240116;095937;0.024870000;10000;9393881829;S
20240116;095937;0.024870000;10000;9393881830;B
20240116;095937;0.024870000;20000;9393881831;B
20240116;095937;0.024870000;260000;9393881832;B
20240116;095937;0.024870000;100000;9393881833;B
20240116;095937;0.024870000;10000;9393881834;B
20240116;095937;0.024870000;10000;9393881835;B
20240116;095937;0.024870000;30000;9393881836;B
20240116;095937;0.024870000;10000;9393881837;B
20240116;095937;0.024870000;10000;9393881838;B
20240116;095937;0.024870000;70000;9393881839;B
20240116;095937;0.024870000;7970000;9393881840;B
20240116;095937;0.024870000;80000;9393881841;B
20240116;095937;0.024870000;1500000;9393881842;B
20240116;095937;0.024870000;10000;9393881843;B
20240116;095937;0.024870000;20000;9393881844;B
20240116;095937;0.024870000;30000;9393881845;S
20240116;095937;0.024870000;30000;9393881846;S
20240116;095937;0.024870000;20000;9393881847;B
20240116;095937;0.024870000;10000;9393881848;S
20240116;095937;0.024870000;60000;9393881849;S
20240116;095937;0.024870000;10000;9393881850;S
20240116;095937;0.024870000;40000;9393881851;S
20240116;095937;0.024870000;10000;9393881852;S
20240116;095937;0.024870000;30000;9393881853;S
20240116;095937;0.024870000;40000;9393881854;S
20240116;095937;0.024870000;30000;9393881855;S
20240116;095937;0.024870000;10000;9393881856;S
20240116;095937;0.024870000;10000;9393881857;S
20240116;095937;0.024870000;20000;9393881858;S
20240116;095937;0.024870000;10000;9393881859;S
20240116;095937;0.024870000;10000;9393881860;S
20240116;095937;0.024870000;40000;9393881861;S
20240116;095937;0.024870000;240000;9393881862;S
20240116;095937;0.024870000;10000;9393881863;S
20240116;095937;0.024870000;230000;9393881864;S
20240116;095937;0.024870000;40000;9393881865;S
20240116;095937;0.024870000;1000000;9393881866;B
20240116;095937;0.024870000;6460000;9393881867;B
20240116;095937;0.024870000;50000;9393881868;B
20240116;095937;0.024870000;10000;9393881869;B
20240116;095937;0.024870000;10000;9393881870;B
20240116;095937;0.024870000;10000;9393881871;B
20240116;095937;0.024870000;10000;9393881872;B
20240116;095937;0.024870000;40000;9393881873;B
20240116;095937;0.024870000;30000;9393881874;B
20240116;095937;0.024870000;10000;9393881875;B
20240116;095937;0.024870000;10000;9393881876;B
20240116;095937;0.024870000;30000;9393881877;B
